(8,9,3577)
(26,22,2156)
(14,22,321)
(5,22,300)
(29,30,5294)
(30,31,5026)
(5,25,29)
(16,24,577)
(3,10,905)
(15,22,335)
(29,31,254)
(9,20,958)
(20,22,938)
(33,34,3774)
(34,35,3423)
(31,35,564)
(11,22,969)
(22,26,214)
(26,29,1183)
(3,8,11)
(9,22,11)
(11,26,832)
(26,29,843)
(31,32,1052)
(32,33,1041)
(31,33,267)
(4,8,531)
(9,22,531)
(22,24,1730)
(24,26,1199)
(1,8,892)
(9,21,892)
(26,29,892)
(31,33,892)
(12,18,825)
(21,25,1106)
(25,26,1205)
(26,29,99)
(31,32,99)
(3,8,107)
(9,26,107)
(15,22,102)
(22,23,209)
(11,23,83)
(23,24,190)
(24,29,107)
(31,33,107)
(38,39,1377)
(39,40,787)
(12,26,131)
(22,29,131)
(31,33,131)
(35,37,2481)
(37,38,2350)
(3,8,640)
(9,26,640)
(9,26,483)
(22,29,483)
(31,33,483)
(35,38,483)
(9,11,194)
(12,26,502)
(22,29,502)
(31,33,502)
(35,37,502)

